Date,Start,End,Over_hours,Pause,Extra_minutes
08.05.2023,08:30,20:00,03:10,20,0
09.05.2023,08:00,16:30,03:23,17,0
10.05.2023,08:00,15:30,02:23,30,0
11.05.2023,07:30,21:30,09:03,20,60
13.05.2023,07:30,17:39,10:42,30,0
14.05.2023,09:10,18:00,11:02,30,0
15.05.2023,09:50,17:30,12:12,30,120
16.05.2023,07:00,16:30,13:52,30,40
17.05.2023,10:30,20:00,13:22,120,0
